Racer,Position,Kart #,Gap
Justin Royster,1,34,-
Michael Wu,2,11,2:000
Meesa Maeng,3,35,10:000
Theodore Birks,33,0,26:000
Paul JP,5,10,52:000
Samvith Srinivas,6,5,78:000
Mark Golitko,7,3,85:000
Victor Birza,8,3,-
Federico Caimi,9,33,9:687
Shriram Vijayaraghavan,10,10,58:000
Chad Marek,11,11,87:000
Ezra Oh,12,5,91:000
Jonathan Schoder,13,2,106:000
Julian Seda,14,1,134:000
Alec Sampson,15,3,-
Brendan Walsh,16,11,54:000
Marie Ankenman,17,33,54:500
Robert Pontarelli,18,10,61:000
Jason Camlic,19,2,81:000
Christian Yang,20,5,97:000
Zexia Fang,21,1,135:000
